run_id,plot_size_mb,deadline_s,commitment_ratio,energy_j,energy_wh,avg_block_interval,avg_tx_rate,n_deadlocks,deadlock_rate,p_51_attack,gini,effective_capacity_tib,throughput_efficiency
5506,7.374419647432095,187.85897144636004,0.31646954045180786,988.6032999457625,0.2746120277627118,172.19398788276013,1488.1494569270278,121,0.242,0.3468243676385537,0.46804523912792756,2.225665280267351e-06,0.174
5508,6.976818564669233,210.03007950617913,0.3740205722567899,998.3675297558689,0.2773243138210747,191.48714673886528,1469.0177137128362,119,0.238,0.30078354219456804,0.4600743762348728,2.4885880204099486e-06,0.112
5507,5.553009110979206,206.95126862817625,0.3355966219048041,1112.2363942642596,0.3089545539622943,207.02831830407843,1516.1647215979956,116,0.232,0.33152270247615667,0.4457996075119789,1.777239893962117e-06,0.11
5509,7.687242064706805,203.62688146521896,0.3522807485562359,1005.6485299850733,0.2793468138847426,202.82693041259597,1499.451646651924,130,0.26,0.31817540115501125,0.4446665290869434,2.582614315879724e-06,0.128
5510,5.046550636324692,197.0658490786212,0.316542375579023,994.315700004328,0.2761988055567578,188.91405440986787,1572.5141995492243,135,0.27,0.34676609953678156,0.47505338067251857,1.523444296743439e-06,0.142
5511,6.063610052834397,203.87542529446856,0.35581042174952116,1146.5032718769226,0.31847313107692293,197.20528978614496,1535.6074418582136,131,0.262,0.31535166260038305,0.45490393198312,2.0575481893764905e-06,0.128
5513,6.457907165594788,190.49788661222792,0.3283577673334766,1027.546035359067,0.2854294542664075,192.05467341009975,1565.5053444346893,142,0.284,0.33731378613321866,0.4948831809547403,2.0222701821723603e-06,0.184
5512,6.78637816769126,213.4528085065558,0.3434986945317436,1147.6045676150018,0.3187790465597227,223.1724087117024,1484.6375783559224,112,0.224,0.3252010443746051,0.4508199024825042,2.223121682358431e-06,0.086
5514,6.0864537346767875,200.89594846004007,0.33343502112366197,1076.374678555733,0.2989929662654814,214.84398148403096,1503.6061004986718,112,0.224,0.3332519831010704,0.46722037009547235,1.9354217811490497e-06,0.118
5515,5.556719139867878,193.47225342099333,0.3552247385007555,987.6412052237748,0.27434477922882633,195.32906717356062,1545.9820383915458,126,0.252,0.3158202091993956,0.45758394853585943,1.882442572957716e-06,0.15
